,id,content
0,001485_0,这件上衣适合夏季穿着，风格休闲，长袖V领，材质为纯棉，版型宽松，颜色为白色。
1,007035_0,这件上衣是黑色、圆领、短袖、修身款式，适合夏季穿着。
2,048453_0,这件上衣是黑色V领无袖修身T恤，适合四季穿着，休闲风格，面料未知。
3,011829_0,这件上衣是夏季休闲风格的短袖圆领T恤，采用粉色纯棉面料，版型宽松。
4,005000_0,这件上衣适合夏季穿着，风格休闲，短袖圆领设计，T恤款式，白色纯棉面料，宽松版型。
5,012739_0,这件衣服适合春秋季穿着，休闲风格的短袖V领T恤，面料为纯棉，颜色为黑色和蓝色，版型宽松。
6,049497_0,这件上衣适合夏秋季节穿着，休闲风格，短袖，圆领，T恤款式，蓝色纯棉面料，修身版型。
7,007157_0,这件上衣适合春季和夏季穿着，风格休闲，短袖，圆领，T恤款式，黑色纯棉面料，宽松版型。
8,004546_0,这件衣服是一款适合春夏季节的休闲T恤，拥有V领设计，短袖长度，衣身颜色为深绿色，版型修身。
9,013023_0,这件上衣是修身款式的长袖V领T恤，采用蓝白条纹面料，适合休闲场合穿着，适合春秋季节。
10,049772_0,这件衣服是一款适合春、夏、秋、冬季节的休闲风格无袖V领白色宽松T恤，面料未知。
11,010393_0,这件衣服是适合四季穿着的正装高领长袖衬衣，棕色和白色相间的豹纹，修身版型，面料未知。
12,050040_0,这件上衣适合夏秋两季，风格休闲，短袖V领，面料为纯棉，颜色为蓝色，版型修身。
13,005339_0,这件休闲短袖上衣适合春夏季节穿着，黑色面料，衣领形状未知。
14,008402_0,这件上衣适合春、夏、秋三季穿着，采用休闲风格，长袖圆领设计，面料为纯棉，版型修身，颜色为锈红色。
15,015506_0,这是一条未知款式、季节、风格、长度、版型、颜色、面料和适合性别的裤子。
16,017462_0,这条裤子是适合春、夏、秋、冬四季穿着的正装修身版型长裤，面料为纯棉，颜色是黑色，男女均可穿着。
17,018679_0,这条裤子是一款适合女性穿着的超短裤，具有喇叭裤型和黑色颜色，风格偏向休闲，面料未知。
18,017016_0,这条裤子适合春、夏、秋、冬穿着，具有时尚或休闲的风格，中长裤长度，常规版型，深色调，轻质面料，适合男女均可穿着。
19,016158_0,这条裤子适合春、夏、秋、冬四季穿着，风格多样，包括牛仔裤、休闲裤、正装、运动裤等，长度可选择长裤、短裤或超短裤，版型有宽松、修身、直通、喇叭等款式，颜色多样，面料可选用纯棉、化纤、尼龙等材质，适合男女均可穿着。
20,016079_0,这条裤子是秋冬季节的休闲长裤，修身版型，灰色，由棉和聚酯纤维混纺而成，适合男女均可穿着。
21,017688_0,这条裤子是女性穿的蓝色长裤，面料未知，版型未知，风格未知，适合春夏秋冬四季穿着。
22,019252_0,这是一条适合秋、冬两季穿着的休闲风格长裤，直筒版型，灰色纯棉面料，男女均可穿着。
23,017872_0,这条裤子是黑色，适合女性穿着，长度未知，版型未知，面料未知，风格未知，适合季节未知。
24,019657_0,这是一条适合四季穿着的正装长裤，修身版型，深蓝色，男女均可。
25,017418_0,这是一条未知款式、季节、风格、长度、版型、颜色、面料和适合性别的裤子。
26,013707_0,这是一条适合春、夏、秋、冬四季穿着的休闲长裤，修身版型，纯棉面料，白色颜色，男女均可穿着。
27,050422_0,这是一条适合四季穿着的休闲长裤，修身版型，米色面料，男女均可穿着。
28,014195_0,这条裤子适合春夏季节穿着，属于休闲裤风格，长度适中，版型修身，颜色为浅蓝色，面料为棉质，适合男女通用。
29,016315_0,这条裤子是适合春秋季穿着的直筒版型长裤，休闲风格，灰色，面料可能是棉和聚酯纤维的混纺，男女均可穿着。
30,032261_0,这条裙子适合春、夏、秋、冬四季穿着，长度为长裙，衣袖为短袖，衣领为V领，风格为晚礼服，表面有印花，颜色为粉色，版型为修身。
31,052007_0,这条深红色修身晚礼服长裙，V领设计，无袖，长裙下摆，适合秋冬季节穿着。
32,029914_0,这条裙子适合春、夏、秋、冬等季节穿着，下摆长度为中长未过膝，衣袖长度为短袖，衣领形状为圆领，风格为职业装，表面为纯色，颜色为白色，版型为修身。
33,031818_0,这条裙子是一条宽松的蓝色晚礼服吊带长裙，表面为纯色，适合秋冬季节穿着。
34,023135_0,这条裙子是修身款式的黑色职业装，具有中长未过膝的长度和长袖设计，圆领和纯色表面使其显得简约大方。
35,025203_0,这条裙子是春夏季节的休闲风中长未过膝中袖V领宽松小碎花绿色版型。
36,034293_0,这条裙子是一款白色修身晚礼服，拥有圆领、无袖设计，长度及膝，表面为纯色，适合晚宴或正式场合穿着。
37,047455_0,这条裙子是黑色修身职业装，具有圆领、短袖、长裙的设计，适合春季穿着，表面为纯色。
38,027163_0,这条裙子适合夏季穿着，中长未过膝，长袖，V领，职业装风格，纯色，红色，修身版型。
39,041335_0,这条裙子是夏季和秋季适穿的休闲风款式，中长未过膝的长度，无袖设计，抹胸领口，纯色米白色调，宽松版型。
40,043843_0,这条裙子适合夏季穿着，中长未过膝的长度，无袖设计，圆领样式，呈现休闲风格，表面有印花图案，颜色为棕色和黑色，版型修身。
41,024193_0,这条裙子是黑色晚礼服，修身版型，长袖V领，下摆为长裙，表面有印花图案。
42,043705_0,这条裙子适合春秋季穿着，中长未过膝的长度，长袖设计，V领款式，休闲风格，表面有印花图案，黑白相间的色彩，修身版型。
43,025825_0,这条裙子是夏季穿着的宽松版型中长未过膝短袖V领休闲风纯色裙子。
44,046625_0,这条裙子适合夏、秋季节穿着，中长未过膝，无袖，V领，属于职业装风格，表面为纯色，颜色为黑色，版型修身。
